Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
Engenho Novo;1;0;0;37;600.0;414.0;16.0
Encantado;1;1;0;44;500.0;346.0;
Barra da Tijuca;1;1;1;45;910.0;640.0;12.0
Centro;1;0;0;30;900.0;320.0;
Centro;1;0;0;21;900.0;289.0;20.0
Praça da Bandeira;1;0;0;35;400.0;130.0;
Rio Comprido;1;0;0;33;800.0;275.0;24.0
Curicica;1;0;0;38;750.0;;
Ricardo de Albuquerque;1;0;0;25;320.0;;
Copacabana;1;0;0;30;1000.0;300.0;30.0
Praça Seca;1;1;1;70;600.0;481.0;17.0
São Cristóvão;1;0;0;56;850.0;450.0;15.0
Oswaldo Cruz;1;0;0;40;900.0;;
Campo Grande;1;0;0;70;1000.0;;
Centro;1;0;0;38;900.0;223.0;15.0
Laranjeiras;1;0;0;26;700.0;450.0;
Méier;1;0;0;47;700.0;435.0;162.0
Engenho Novo;1;1;1;51;850.0;509.0;17.0
Realengo;1;0;0;40;800.0;;
Méier;1;0;0;55;850.0;340.0;16.0
Centro;1;0;0;28;900.0;350.0;20.0
Copacabana;1;0;0;40;1100.0;450.0;50.0
Flamengo;1;0;1;26;1100.0;381.0;29.0
Santa Teresa;1;0;0;45;740.0;180.0;25.0
Colégio;1;0;0;65;800.0;;
Santa Teresa;1;0;0;20;700.0;303.0;14.0
Centro;1;0;0;20;1090.0;300.0;15.0
Tanque;1;1;1;64;900.0;470.0;15.0
Glória;1;0;1;48;1100.0;500.0;
Centro;1;0;0;22;750.0;330.0;25.0
Centro;1;0;0;32;700.0;480.0;90.0
Copacabana;1;0;0;30;1100.0;423.0;242.0
Centro;1;0;0;40;1000.0;510.0;21.0
Méier;1;1;0;55;900.0;250.0;17.0
Barra da Tijuca;1;1;0;21;950.0;740.0;169.0
Centro;1;0;0;55;850.0;350.0;35.0
Centro;1;0;0;28;900.0;446.0;24.0
Catete;1;0;0;27;1000.0;359.0;29.0
Praça da Bandeira;1;0;0;22;800.0;313.0;25.0
Engenho Novo;1;1;0;62;900.0;555.0;
Tijuca;1;0;0;35;800.0;380.0;24.0
