Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
Copacabana;1;0;0;21;700.0;508.0;
Tanque;1;0;0;45;750.0;75.0;
Copacabana;1;0;0;31;950.0;450.0;55.0
Tijuca;1;0;1;33;900.0;460.0;25.0
Centro;1;0;0;35;900.0;517.0;25.0
Quintino Bocaiúva;1;0;0;50;1100.0;145.0;
Madureira;1;0;0;50;750.0;200.0;
Centro;1;0;0;40;800.0;385.0;84.0
Marechal Hermes;1;0;0;29;490.0;;
Campo Grande;1;1;0;80;750.0;;2.0
Centro;1;0;0;26;750.0;400.0;
Copacabana;1;0;0;30;1100.0;528.0;
Irajá;1;0;0;40;750.0;;
Copacabana;1;0;0;27;1080.0;450.0;54.0
Glória;1;0;0;47;1150.0;500.0;25.0
Vista Alegre;1;0;0;50;900.0;;
Campo Grande;1;0;0;50;650.0;;55.0
Méier;1;0;0;35;1100.0;200.0;35.0
Tauá;1;0;0;40;1150.0;80.0;20.0
Cachambi;1;0;0;35;600.0;274.0;22.0
Flamengo;1;0;0;27;1000.0;366.0;25.0
Lapa;1;0;0;22;950.0;400.0;20.0
Catete;1;0;0;44;950.0;300.0;29.0
São Cristóvão;1;0;0;60;1100.0;;
Centro;1;0;0;20;750.0;245.0;
Bento Ribeiro;1;1;0;30;480.0;;
Campo Grande;1;0;0;55;500.0;;
Campo Grande;1;1;0;41;600.0;195.0;
Praça da Bandeira;1;0;0;36;1100.0;350.0;130.0
Ribeira;1;1;0;58;1100.0;565.0;500.0
Centro;1;0;0;30;700.0;480.0;80.0
Ramos;1;1;0;47;1000.0;;
Flamengo;1;0;0;22;1000.0;370.0;25.0
Guadalupe;1;0;0;21;500.0;9.0;
Cachambi;1;0;0;36;600.0;407.0;
Barra da Tijuca;1;1;0;42;1000.0;740.0;
Bangu;1;0;0;40;600.0;;
Engenho de Dentro;1;1;0;50;800.0;250.0;
Centro;1;0;0;28;600.0;369.0;
Piedade;1;0;0;40;750.0;;16.0
Gardênia Azul;1;1;0;39;790.0;;
Grajaú;1;0;0;40;1000.0;460.0;25.0
Méier;1;1;0;55;800.0;400.0;17.0
Grajaú;1;1;0;58;1100.0;670.0;360.0
Cachambi;1;1;0;70;1000.0;150.0;13.0
Vila Isabel;1;0;0;35;1100.0;455.0;
Praça Seca;1;1;0;46;700.0;300.0;107.0
Copacabana;1;0;0;27;800.0;626.0;20.0
Jardim Guanabara;1;1;0;44;1100.0;230.0;48.0
Barra da Tijuca;1;1;0;50;1000.0;2050.0;340.0
Taquara;1;0;0;60;1000.0;;
Campo Grande;1;0;0;50;400.0;;
Vila da Penha;1;0;0;100;800.0;;
Cachambi;1;1;0;64;900.0;600.0;
Centro;1;0;0;46;800.0;350.0;
Tijuca;1;0;0;40;900.0;640.0;21.0
Campo Grande;1;0;0;60;450.0;;20.0
Oswaldo Cruz;1;0;0;50;700.0;;
Praça da Bandeira;1;0;0;23;850.0;397.0;25.0
Oswaldo Cruz;1;0;0;50;730.0;;
Tijuca;1;0;0;27;900.0;385.0;20.0
Irajá;1;0;0;45;600.0;;17.0
Praça da Bandeira;1;0;0;30;900.0;310.0;
Campo Grande;1;0;0;65;650.0;110.0;
Tijuca;1;0;0;25;1000.0;449.0;
Méier;1;1;0;87;1100.0;411.0;
Grajaú;1;1;0;50;1100.0;500.0;
Centro;1;0;0;40;1100.0;707.0;70.0
Catete;1;0;0;29;1100.0;320.0;25.0
São Cristóvão;1;0;0;55;900.0;450.0;
Centro;1;0;0;40;1050.0;340.0;
Cascadura;1;0;0;54;760.0;80.0;
Tijuca;1;0;0;45;1000.0;440.0;
Quintino Bocaiúva;1;0;0;34;600.0;;
Ramos;1;0;0;58;900.0;;
Centro;1;0;0;34;1000.0;454.0;25.0
Vila Isabel;1;1;0;30;1100.0;620.0;
Tijuca;1;0;0;40;1100.0;534.0;25.0
Rocha Miranda;1;0;0;55;800.0;;
Anil;1;1;0;40;1100.0;320.0;13.0
Centro;1;0;0;35;1100.0;340.0;20.0
Vila Isabel;1;0;0;16;980.0;80.0;
Vila da Penha;1;0;0;35;500.0;;
Cascadura;1;0;0;36;750.0;;
Copacabana;1;0;0;30;1000.0;425.0;29.0
Centro;1;0;0;22;900.0;350.0;24.0
Copacabana;1;0;0;33;900.0;800.0;30.0
Lins de Vasconcelos;1;1;0;44;800.0;435.0;14.0
Botafogo;1;0;0;21;900.0;350.0;24.0
Grajaú;1;0;0;30;900.0;590.0;20.0
Engenho Novo;1;0;0;45;800.0;460.0;
Copacabana;1;0;0;25;1000.0;545.0;30.0
Tijuca;1;0;0;24;1000.0;380.0;20.0
Centro;1;0;0;25;850.0;223.0;24.0
Jardim Guanabara;1;1;0;30;1000.0;450.0;24.0
Freguesia (Jacarepaguá);1;1;0;55;900.0;690.0;40.0
Vila da Penha;1;0;0;45;800.0;;
Guadalupe;1;1;1;45;800.0;250.0;
Centro;1;0;0;26;900.0;350.0;19.0
Glória;1;0;0;26;1000.0;360.0;
Centro;1;0;0;32;900.0;342.0;24.0
Praça Seca;1;1;0;30;800.0;40.0;
Copacabana;1;0;0;26;1100.0;607.0;225.0
Copacabana;1;0;0;21;1100.0;405.0;
Centro;1;0;0;25;1100.0;;
Flamengo;1;0;0;23;800.0;480.0;29.0
Centro;1;0;0;30;400.0;615.0;25.0
Pechincha;1;0;0;30;500.0;;
Campo Grande;1;1;0;48;650.0;250.0;12.0
Centro;1;0;0;25;800.0;330.0;25.0
Magalhães Bastos;1;0;0;20;380.0;;
Centro;1;0;0;28;900.0;370.0;20.0
Madureira;1;0;0;40;600.0;;
Centro;1;0;0;37;940.0;385.0;24.0
Centro;1;0;0;31;750.0;350.0;24.0
Freguesia (Jacarepaguá);1;1;0;45;1100.0;485.0;36.0
Tijuca;1;0;0;35;1000.0;300.0;50.0
Maria da Graça;1;0;0;57;850.0;;
Cascadura;1;0;0;45;650.0;250.0;
Centro;1;0;0;34;850.0;410.0;24.0
Vila Isabel;1;1;1;52;1000.0;750.0;25.0
Andaraí;1;0;0;60;1100.0;150.0;20.0
Quintino Bocaiúva;1;0;0;40;700.0;66.0;
Jardim América;1;0;0;15;400.0;;
Gardênia Azul;1;0;0;30;500.0;;
Centro;1;0;0;36;850.0;600.0;
Oswaldo Cruz;1;0;0;50;700.0;;
Campo Grande;1;0;0;50;600.0;;
Centro;1;0;0;38;900.0;355.0;21.0
Bonsucesso;1;0;0;40;600.0;;12.0
Oswaldo Cruz;1;0;0;25;500.0;;
Olaria;1;0;0;56;780.0;318.0;
Curicica;1;0;0;50;800.0;;80.0
Botafogo;1;0;0;20;850.0;360.0;
Centro;1;0;0;20;1000.0;286.0;19.0
Rocha Miranda;1;0;0;32;1000.0;;
Flamengo;1;0;0;24;1000.0;287.0;24.0
Irajá;1;0;0;35;750.0;;
Gardênia Azul;1;0;0;35;500.0;10.0;
Laranjeiras;1;0;0;25;900.0;450.0;30.0
Olaria;1;0;0;55;850.0;40.0;
Vicente de Carvalho;1;0;0;55;600.0;;16.0
Botafogo;1;0;0;22;830.0;599.0;29.0
Riachuelo;1;0;0;24;680.0;;16.0
Cacuia;1;0;0;37;800.0;200.0;24.0
Vila Isabel;1;0;0;36;1000.0;480.0;20.0
Anil;1;0;0;30;450.0;;
Pedra de Guaratiba;1;0;0;35;450.0;;
Irajá;1;0;0;60;800.0;;
Campinho;1;0;1;35;660.0;66.0;
Del Castilho;1;0;0;50;1000.0;;18.0
Méier;1;0;0;67;800.0;430.0;
Glória;1;0;0;29;600.0;335.0;25.0
Santíssimo;1;1;0;55;900.0;;
Copacabana;1;0;0;20;1100.0;400.0;
Freguesia (Jacarepaguá);1;1;0;49;950.0;430.0;35.0
Estácio;1;1;1;32;1000.0;410.0;21.0
Campinho;1;0;0;69;600.0;;
Bento Ribeiro;1;0;0;50;790.0;;
Flamengo;1;0;0;18;1000.0;373.0;29.0
Piedade;1;0;0;30;560.0;90.0;10.0
Méier;1;0;0;40;700.0;355.0;17.0
Pechincha;1;1;0;50;600.0;500.0;20.0
Glória;1;0;0;32;920.0;480.0;38.0
Centro;1;0;0;48;800.0;80.0;
Bento Ribeiro;1;1;0;35;500.0;;
Copacabana;1;0;0;28;950.0;450.0;29.0
Catete;1;0;0;25;800.0;420.0;22.0
Centro;1;0;0;20;850.0;231.0;198.0
Vila da Penha;1;0;0;40;900.0;;
Engenho Novo;1;1;0;45;590.0;270.0;16.0
Copacabana;1;0;0;30;1000.0;365.0;
Curicica;1;0;0;35;700.0;;
Barra da Tijuca;1;1;0;42;950.0;650.0;15.0
Barra da Tijuca;1;1;1;45;1070.0;644.0;37.0
Guaratiba;1;0;0;24;400.0;;
Méier;1;0;0;33;700.0;315.0;14.0
Campo Grande;1;1;0;70;750.0;50.0;
Tauá;1;0;0;50;870.0;150.0;
Tijuca;1;0;0;43;1100.0;210.0;
Vigário Geral;1;0;0;40;500.0;;
São Cristóvão;1;0;0;25;530.0;120.0;25.0
Botafogo;1;0;0;17;850.0;356.0;
Centro;1;0;1;28;1000.0;471.0;225.0
Cachambi;1;0;0;50;900.0;;
Tijuca;1;0;0;20;1000.0;300.0;
Centro;1;0;0;20;700.0;208.0;25.0
Centro;1;0;0;29;700.0;269.0;24.0
Itanhangá;1;0;0;30;700.0;;
Quintino Bocaiúva;1;1;0;35;650.0;314.0;
Campo Grande;1;0;0;50;550.0;;
São Cristóvão;1;1;0;60;1100.0;400.0;11.0
Ricardo de Albuquerque;1;0;0;24;450.0;;
Ramos;1;1;0;55;1000.0;;
Vaz Lobo;1;0;0;60;800.0;;
Lins de Vasconcelos;1;1;0;42;1050.0;504.0;16.0
Rio Comprido;1;1;0;99;1000.0;777.0;68.0
Leme;1;0;0;26;1100.0;605.0;26.0
São Cristóvão;1;0;0;41;1000.0;130.0;
Copacabana;1;0;0;25;700.0;520.0;
Freguesia (Jacarepaguá);1;0;0;30;500.0;;
Bento Ribeiro;1;1;0;60;900.0;;
Higienópolis;1;0;0;45;700.0;130.0;
Grajaú;1;0;0;41;650.0;267.0;
Tijuca;1;0;0;24;1000.0;400.0;
Centro;1;0;0;36;900.0;230.0;20.0
Ilha do Governador;1;0;0;70;750.0;;20.0
Centro;1;0;0;27;700.0;325.0;111.0
Campo Grande;1;0;0;45;950.0;;2.0
Centro;1;0;0;35;950.0;425.0;25.0
Quintino Bocaiúva;1;0;0;55;800.0;;
Vila da Penha;1;0;0;25;750.0;100.0;
Centro;1;0;0;34;800.0;330.0;
Campinho;1;1;0;60;850.0;;
Alto da Boa Vista;1;0;0;40;600.0;65.0;19.0
Engenho Novo;1;1;0;51;800.0;532.0;16.0
Copacabana;1;0;0;22;950.0;415.0;
Centro;1;0;0;35;1150.0;430.0;180.0
Irajá;1;0;0;40;700.0;;
Andaraí;1;0;0;48;1050.0;195.0;20.0
Piedade;1;1;0;40;650.0;305.0;16.0
Centro;1;0;0;34;900.0;400.0;
Freguesia (Jacarepaguá);1;1;0;67;1000.0;470.0;16.0
Jacarepaguá;1;1;0;55;900.0;480.0;40.0
Centro;1;0;0;25;900.0;280.0;26.0
Rocha Miranda;1;0;0;44;750.0;;
Botafogo;1;0;0;25;1000.0;650.0;30.0
Cachambi;1;1;0;45;700.0;210.0;
Centro;1;0;0;15;700.0;354.0;86.0
Centro;1;0;0;20;800.0;338.0;20.0
Freguesia (Jacarepaguá);1;0;0;25;1000.0;200.0;
São Cristóvão;1;0;0;45;700.0;270.0;20.0
Campo Grande;1;0;0;40;490.0;;
Curicica;1;0;0;45;950.0;150.0;
Centro;1;0;0;30;900.0;415.0;23.0
Centro;1;1;0;46;1100.0;560.0;490.0
Copacabana;1;0;0;56;1100.0;920.0;
Pavuna;1;1;0;50;600.0;;
Catete;1;0;0;22;900.0;446.0;
Bonsucesso;1;0;0;30;650.0;;
Santa Teresa;1;0;0;35;1000.0;50.0;
Santo Cristo;1;1;0;27;800.0;120.0;
Copacabana;1;0;0;20;1100.0;490.0;30.0
Bento Ribeiro;1;1;0;51;600.0;;
Campo Grande;1;1;0;60;800.0;;
Jacarepaguá;1;0;0;30;700.0;112.0;
Braz de Pina;1;0;0;35;750.0;;
Centro;1;0;0;25;890.0;368.0;80.0
Quintino Bocaiúva;1;0;0;60;700.0;270.0;
Centro;1;0;0;22;700.0;295.0;19.0
Colégio;1;0;0;49;780.0;;
Itanhangá;1;1;0;45;1000.0;;
Tijuca;1;0;0;45;1150.0;458.0;46.0
Vila da Penha;1;0;0;25;600.0;;
Glória;1;0;0;35;1150.0;350.0;25.0
Paciência;1;0;0;40;650.0;;
Santa Teresa;1;0;0;25;900.0;400.0;15.0
Glória;1;0;0;25;750.0;316.0;57.0
Taquara;1;0;0;25;500.0;;
Centro;1;0;0;24;1050.0;270.0;22.0
Centro;1;0;0;28;850.0;139.0;25.0
Anchieta;1;0;0;60;690.0;;
Centro;1;0;0;47;950.0;250.0;
Praça Seca;1;1;0;56;900.0;240.0;125.0
Centro;1;0;0;30;800.0;280.0;24.0
Centro;1;0;0;25;1000.0;280.0;
Vicente de Carvalho;1;0;0;40;610.0;95.0;
Campo Grande;1;0;0;30;430.0;;
Copacabana;1;0;0;40;490.0;;
Campo Grande;1;0;0;40;480.0;;
Centro;1;0;0;21;750.0;269.0;24.0
Estácio;1;1;0;36;750.0;342.0;
Engenho de Dentro;1;0;0;32;700.0;;17.0
Grajaú;1;1;0;50;1100.0;500.0;25.0
Copacabana;1;0;0;35;1100.0;500.0;
Campo Grande;1;0;0;50;550.0;;
Méier;1;0;0;33;890.0;250.0;13.0
Bento Ribeiro;1;0;0;40;600.0;;
Senador Vasconcelos;1;1;0;40;690.0;;
Jardim Sulacap;1;1;0;45;850.0;70.0;
Vila Isabel;1;0;0;50;1000.0;325.0;34.0
Todos os Santos;1;0;0;40;900.0;;34.0
Glória;1;0;0;30;1100.0;348.0;13.0
Centro;1;0;0;36;1000.0;320.0;
Copacabana;1;0;0;29;1150.0;450.0;182.0
Centro;1;0;0;40;1000.0;438.0;21.0
Realengo;1;0;0;60;700.0;;
Pavuna;1;0;0;40;450.0;40.0;
Ilha do Governador;1;0;0;71;1000.0;;
Cascadura;1;0;0;36;700.0;;
Vila Isabel;1;0;0;36;1050.0;385.0;
Cordovil;1;0;0;65;650.0;;
Copacabana;1;0;0;32;1050.0;714.0;
Botafogo;1;0;0;17;1000.0;476.0;
Tijuca;1;0;0;25;1000.0;346.0;
Copacabana;1;0;0;35;1000.0;410.0;57.0
Copacabana;1;0;0;20;800.0;480.0;24.0
Flamengo;1;0;0;23;900.0;332.0;30.0
Quintino Bocaiúva;1;0;0;40;550.0;;
Praça da Bandeira;1;0;0;21;700.0;179.0;
Centro;1;0;0;45;1000.0;350.0;23.0
Honório Gurgel;1;0;0;34;800.0;;
Flamengo;1;0;0;15;900.0;401.0;23.0
Tijuca;1;1;0;60;1050.0;695.0;20.0
Copacabana;1;0;0;27;950.0;605.0;
Méier;1;0;0;32;900.0;180.0;
Copacabana;1;0;0;20;1000.0;318.0;
Copacabana;1;0;0;27;1190.0;230.0;19.0
Madureira;1;1;0;50;650.0;450.0;
Leme;1;0;0;18;1100.0;490.0;
Barra da Tijuca;1;0;0;38;1000.0;410.0;15.0
Bonsucesso;1;0;0;62;800.0;270.0;
Realengo;1;0;0;70;750.0;;
Vila Isabel;1;0;1;45;1100.0;500.0;24.0
Riachuelo;1;0;0;53;1000.0;217.0;
Engenho Novo;1;1;0;40;1150.0;310.0;
Centro;1;0;0;38;1000.0;335.0;175.0
Centro;1;0;0;25;900.0;340.0;15.0
Glória;1;0;0;20;1000.0;480.0;27.0
Botafogo;1;0;0;17;900.0;436.0;
Praça Seca;1;1;0;40;1000.0;270.0;
Bonsucesso;1;0;0;50;600.0;;
Botafogo;1;0;0;29;1000.0;570.0;25.0
Tijuca;1;1;0;40;1100.0;500.0;20.0
Centro;1;0;0;20;800.0;430.0;38.0
Centro;1;0;0;28;950.0;350.0;
Santa Teresa;1;0;0;25;750.0;400.0;
Jacarepaguá;1;1;0;56;600.0;692.0;
Glória;1;0;0;50;800.0;495.0;
Engenho de Dentro;1;1;0;24;500.0;559.0;56.0
São Cristóvão;1;0;0;40;850.0;;
Tijuca;1;0;0;30;1000.0;420.0;21.0
Campo Grande;1;1;0;40;500.0;200.0;
Jacarepaguá;1;0;0;20;800.0;520.0;90.0
Anil;1;0;0;20;300.0;18.0;8.0
Taquara;1;0;0;60;1000.0;;
Catete;1;0;0;24;1100.0;435.0;225.0
Riachuelo;1;0;0;46;900.0;253.0;17.0
Grajaú;1;0;0;30;1000.0;;
Centro;1;0;0;28;900.0;360.0;20.0
Méier;1;0;0;45;1000.0;;
Flamengo;1;0;0;31;1000.0;394.0;24.0
Copacabana;1;0;0;20;1000.0;;
Moneró;1;0;0;55;1000.0;350.0;18.0
Inhaúma;1;0;0;45;750.0;;
Pedra de Guaratiba;1;0;0;42;460.0;;
Centro;1;0;0;30;1000.0;235.0;70.0
Centro;1;0;0;27;600.0;658.0;
Cascadura;1;1;0;30;750.0;30.0;
Centro;1;0;0;31;850.0;560.0;115.0
Centro;1;0;0;41;1100.0;390.0;24.0
Centro;1;0;0;34;750.0;470.0;
Senador Vasconcelos;1;1;1;40;850.0;180.0;
Catumbi;1;0;0;45;900.0;;6.0
Vila da Penha;1;0;0;27;750.0;;
Madureira;1;1;0;60;650.0;220.0;
Vila da Penha;1;1;0;48;1100.0;150.0;
Centro;1;0;0;34;1000.0;600.0;129.0
Vista Alegre;1;0;0;35;750.0;;
Bangu;1;0;0;50;750.0;;100.0
Flamengo;1;0;0;16;1100.0;344.0;25.0
Jardim América;1;0;0;60;600.0;;
Centro;1;0;0;38;800.0;383.0;
Irajá;1;0;0;35;700.0;;
Marechal Hermes;1;0;0;70;520.0;;25.0
Copacabana;1;0;0;21;900.0;358.0;58.0
Taquara;1;0;0;40;800.0;;13.0
Ramos;1;0;0;45;850.0;;
Centro;1;0;0;19;600.0;308.0;25.0
Cascadura;1;0;0;40;850.0;;
Centro;1;0;0;34;750.0;420.0;21.0
Saúde;1;0;0;23;600.0;445.0;
Copacabana;1;0;0;36;1000.0;503.0;57.0
Ricardo de Albuquerque;1;0;0;25;350.0;;
Centro;1;0;0;27;650.0;203.0;20.0
Madureira;1;0;0;30;1100.0;;
Copacabana;1;0;0;19;1100.0;488.0;30.0
Pechincha;1;1;0;54;850.0;347.0;14.0
Copacabana;1;0;0;28;1100.0;450.0;54.0
Vigário Geral;1;0;0;40;550.0;;
Oswaldo Cruz;1;1;0;60;700.0;;
Bonsucesso;1;1;0;50;950.0;170.0;26.0
Encantado;1;0;0;40;1000.0;;17.0
Méier;1;0;0;47;900.0;320.0;16.0
Copacabana;1;0;0;35;1100.0;450.0;558.0
Tijuca;1;0;0;30;990.0;;
Copacabana;1;0;0;40;1100.0;800.0;100.0
Gardênia Azul;1;0;0;18;485.0;;
Vila Isabel;1;0;0;50;800.0;176.0;24.0
Centro;1;0;0;30;800.0;350.0;
Curicica;1;0;0;45;900.0;;
Ramos;1;0;0;40;600.0;;
Glória;1;0;0;25;1100.0;394.0;29.0
Vila Kosmos;1;0;0;60;1000.0;;
Glória;1;0;0;20;800.0;290.0;
Flamengo;1;0;0;28;900.0;380.0;29.0
Engenho Novo;1;0;0;40;850.0;381.0;
Tijuca;1;0;0;57;1000.0;517.0;
Campo Grande;1;0;0;70;750.0;;
Guadalupe;1;0;0;30;400.0;;
Botafogo;1;0;0;40;700.0;150.0;
Engenho de Dentro;1;0;0;45;600.0;200.0;
Centro;1;0;0;32;850.0;435.0;21.0
Vargem Grande;1;3;0;30;800.0;220.0;
Cavalcanti;1;0;0;45;600.0;;30.0
Tijuca;1;0;0;35;1100.0;327.0;
Pechincha;1;1;0;46;1100.0;300.0;
Braz de Pina;1;0;0;37;600.0;;
Vila Isabel;1;1;0;60;1000.0;500.0;
Taquara;1;1;1;50;600.0;367.0;16.0
Méier;1;1;0;33;900.0;550.0;12.0
Marechal Hermes;1;0;0;45;700.0;;
Engenho Novo;1;1;0;58;1000.0;580.0;17.0
Recreio dos Bandeirantes;1;0;0;30;900.0;35.0;9.0
Copacabana;1;0;0;26;1100.0;523.0;
Vila da Penha;1;0;0;30;700.0;;
Anil;1;0;0;28;680.0;70.0;
Ramos;1;0;0;35;700.0;;
Copacabana;1;0;0;20;1140.0;435.0;25.0
Praça Seca;1;1;0;50;780.0;;
Méier;1;0;0;50;900.0;;14.0
Campo Grande;1;0;0;70;700.0;;
Vila Isabel;1;0;0;22;700.0;20.0;22.0
Centro;1;0;0;28;850.0;428.0;21.0
Olaria;1;0;1;11;800.0;;
Higienópolis;1;0;0;96;700.0;;
Senador Vasconcelos;1;1;1;50;800.0;180.0;
Botafogo;1;0;0;27;1100.0;500.0;19.0
Irajá;1;0;0;40;700.0;;
Laranjeiras;1;0;0;28;1100.0;480.0;25.0
Praça da Bandeira;1;0;0;30;800.0;459.0;
Pavuna;1;1;0;40;400.0;220.0;
Cocotá;1;0;0;37;700.0;200.0;20.0
Cacuia;1;1;0;42;1050.0;330.0;
Padre Miguel;1;0;0;33;600.0;;60.0
Campo Grande;1;0;0;65;700.0;;
Centro;1;0;0;22;1000.0;420.0;24.0
Campo Grande;1;0;0;40;500.0;;
Honório Gurgel;1;0;0;40;500.0;;
Olaria;1;0;0;45;700.0;;
Jacarepaguá;1;1;0;55;1100.0;580.0;
Vila da Penha;1;0;0;50;900.0;;
Pilares;1;0;0;50;900.0;;
Irajá;1;0;0;55;850.0;110.0;
Santa Teresa;1;0;0;31;1000.0;330.0;15.0
Cacuia;1;1;0;37;900.0;214.0;
São Francisco Xavier;1;0;0;76;800.0;415.0;14.0
Vila Militar;1;0;0;30;500.0;;
Copacabana;1;0;0;30;1150.0;278.0;25.0
Pedra de Guaratiba;1;2;0;70;660.0;;
Andaraí;1;1;0;60;1000.0;230.0;23.0
Tijuca;1;0;0;25;1000.0;380.0;
Centro;1;0;0;34;1100.0;313.0;25.0
Flamengo;1;0;0;29;1100.0;364.0;
Senador Vasconcelos;1;0;0;40;550.0;;
Glória;1;0;0;21;1100.0;338.0;15.0
Jardim América;1;0;0;38;550.0;;
Vila Valqueire;1;0;0;60;900.0;;
Bento Ribeiro;1;1;0;50;1100.0;;
Centro;1;0;0;30;750.0;400.0;25.0
Pedra de Guaratiba;1;0;0;40;500.0;;
Praça da Bandeira;1;0;0;22;900.0;381.0;25.0
Penha Circular;1;0;0;50;650.0;120.0;
Laranjeiras;1;0;0;26;800.0;458.0;29.0
Del Castilho;1;0;0;55;800.0;;
Copacabana;1;0;0;20;1000.0;520.0;67.0
São Cristóvão;1;1;0;36;1000.0;280.0;136.0
Pechincha;1;1;0;52;850.0;585.0;36.0
Higienópolis;1;0;0;50;650.0;;
Centro;1;0;0;30;900.0;500.0;115.0
Centro;1;0;0;22;1050.0;280.0;24.0
Fátima;1;0;0;25;800.0;300.0;20.0
Jardim Guanabara;1;0;0;39;1100.0;250.0;25.0
Centro;1;0;0;40;900.0;400.0;21.0
Botafogo;1;0;0;35;1000.0;293.0;86.0
Santa Teresa;1;0;0;16;650.0;380.0;12.0
Centro;1;0;0;21;830.0;355.0;24.0
Vila da Penha;1;0;0;30;800.0;;
Centro;1;0;0;31;850.0;362.0;25.0
Oswaldo Cruz;1;1;0;50;1000.0;150.0;
Campo Grande;1;1;0;37;600.0;;
Glória;1;0;0;30;800.0;495.0;
Botafogo;1;0;0;22;1100.0;438.0;
Copacabana;1;0;0;32;1100.0;561.0;29.0
Campo Grande;1;0;0;40;600.0;;25.0
Copacabana;1;0;0;29;790.0;480.0;95.0
Vila da Penha;1;0;0;15;600.0;;
Copacabana;1;0;0;27;1100.0;606.0;252.0
Centro;1;0;0;25;1100.0;316.0;24.0
Freguesia (Jacarepaguá);1;0;0;28;550.0;;
Centro;1;0;0;27;1000.0;420.0;
Tijuca;1;0;0;37;1000.0;462.0;
Leme;1;0;0;26;1000.0;499.0;24.0
Braz de Pina;1;0;0;50;800.0;;
Cascadura;1;0;0;42;800.0;;
Santa Teresa;1;0;0;30;1000.0;425.0;
Copacabana;1;0;0;30;700.0;620.0;29.0
Laranjeiras;1;0;0;30;1000.0;70.0;29.0
Praça da Bandeira;1;0;0;32;800.0;264.0;25.0
Lapa;1;0;0;35;1100.0;300.0;25.0
Tauá;1;1;0;50;1000.0;424.0;
Santa Teresa;1;0;0;20;600.0;;
Realengo;1;0;0;45;650.0;;
Méier;1;0;0;41;850.0;430.0;14.0
Glória;1;0;0;21;1100.0;303.0;29.0
Irajá;1;0;0;48;850.0;120.0;
Vila da Penha;1;1;0;65;1000.0;369.0;
Centro;1;0;0;20;900.0;217.0;21.0
Fátima;1;0;0;25;650.0;370.0;24.0
Paciência;1;0;0;40;650.0;;
Laranjeiras;1;0;0;20;900.0;280.0;
Centro;1;0;0;40;1000.0;400.0;
Méier;1;0;0;60;900.0;283.0;17.0
Botafogo;1;0;0;22;1000.0;364.0;25.0
Vila Isabel;1;0;0;50;850.0;369.0;24.0
Vila da Penha;1;0;0;40;1000.0;;
Campo Grande;1;1;0;50;550.0;;2.0
Centro;1;0;0;30;1100.0;235.0;70.0
Centro;1;0;0;20;700.0;312.0;8.0
Glória;1;0;0;30;800.0;495.0;
Del Castilho;1;1;0;55;800.0;350.0;
Abolição;1;0;0;42;800.0;260.0;16.0
São Cristóvão;1;0;0;33;780.0;;
Centro;1;0;0;34;900.0;330.0;
Bento Ribeiro;1;0;0;38;600.0;;
Jacarepaguá;1;0;0;40;1000.0;200.0;76.0
Centro;1;0;0;24;750.0;322.0;21.0
Barra da Tijuca;1;1;1;65;1000.0;2650.0;180.0
Jacarepaguá;1;1;0;35;1100.0;950.0;20.0
Glória;1;0;0;39;900.0;246.0;
Centro;1;0;0;25;700.0;325.0;107.0
Tijuca;1;0;0;50;1100.0;350.0;21.0
Taquara;1;1;0;49;800.0;465.0;35.0
Centro;1;0;0;42;650.0;460.0;
Ramos;1;0;1;50;800.0;;
Engenho Novo;1;0;0;30;700.0;100.0;500.0
Centro;1;0;0;32;800.0;278.0;20.0
Curicica;1;0;0;24;500.0;60.0;250.0
Tijuca;1;0;0;48;1000.0;650.0;47.0
Madureira;1;0;0;55;700.0;200.0;
Copacabana;1;0;0;38;1150.0;780.0;
Centro;1;0;0;35;1000.0;500.0;24.0
Ramos;1;0;0;25;650.0;;
Copacabana;1;0;0;40;950.0;579.0;67.0
Vila da Penha;1;0;0;64;700.0;200.0;
Riachuelo;1;1;0;55;1000.0;500.0;
Engenho Novo;1;1;0;54;1000.0;450.0;34.0
Engenho de Dentro;1;0;0;50;800.0;;17.0
Paciência;1;0;0;40;700.0;;
Centro;1;0;0;34;800.0;330.0;18.0
Flamengo;1;0;0;35;1100.0;500.0;29.0
Centro;1;0;0;34;800.0;400.0;130.0
Centro;1;0;0;20;900.0;238.0;10.0
Guadalupe;1;0;0;41;800.0;;
Centro;1;0;0;50;1000.0;400.0;50.0
Praça Seca;1;0;0;30;400.0;35.0;
Centro;1;0;0;42;1100.0;410.0;
Madureira;1;0;0;40;800.0;;
Centro;1;0;0;27;1100.0;370.0;
Vaz Lobo;1;0;0;50;700.0;;
Rocha Miranda;1;0;0;44;700.0;;
Catete;1;0;0;20;900.0;408.0;25.0
Vila Isabel;1;1;0;40;1000.0;400.0;24.0
Botafogo;1;0;0;18;900.0;457.0;
Centro;1;0;0;32;700.0;300.0;21.0
Madureira;1;1;0;52;900.0;;
Andaraí;1;1;0;60;1000.0;400.0;21.0
Bento Ribeiro;1;0;0;35;780.0;;14.0
Vila Isabel;1;0;0;50;1100.0;450.0;20.0
Copacabana;1;0;0;25;1000.0;290.0;
Centro;1;0;0;40;1100.0;300.0;
Copacabana;1;0;0;27;1000.0;655.0;55.0
Rocha Miranda;1;0;0;28;900.0;;
